id,title,authors,language_code,original_publication_year,average_rating,ratings_count,isbn,image_url
28,Lord of the Flies,William Golding,eng,1954,3.64,1605019,140283331,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",eng,1595,3.73,1628519,743477111,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,Gone Girl,Gillian Flynn,eng,2012,4.03,512475,297859382,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,The Help,Kathryn Stockett,eng,2009,4.45,1531753,399155341,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,Of Mice and Men,John Steinbeck,eng,1937,3.84,1467496,142000671,https://images.gr-assets.com/books/1437235233m/890.jpg
33,Memoirs of a Geisha,Arthur Golden,eng,1997,4.08,1300209,739326228,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,eng,2011,3.67,1338493,1612130291,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",eng,1988,3.82,1299566,61122416,https://images.gr-assets.com/books/1483412266m/865.jpg
36,"The Giver (The Giver, #1)",Lois Lowry,eng,1993,4.12,1296825,385732554,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,eng,1950,4.19,1531800,60764899,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,The Time Traveler's Wife,Audrey Niffenegger,eng,2003,3.95,746287,965818675,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,eng,1996,4.45,1319204,553588486,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,"Eat, Pray, Love",Elizabeth Gilbert,eng,2006,3.51,1181647,143038419,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,eng,2005,4.23,1366265,786838655,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,"Little Women (Little Women, #1)",Louisa May Alcott,en-US,1868,4.04,1257121,451529308,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,Jane Eyre,"Charlotte Brontë, Michael Mason",eng,1847,4.1,1198557,142437204,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,eng,1996,4.06,1053403,553816713,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,Life of Pi,Yann Martel,,2001,3.88,1003228,770430074,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,Water for Elephants,Sara Gruen,eng,2006,4.07,1068146,1565125606,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,The Book Thief,Markus Zusak,eng,2005,4.36,1159741,375831002,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,Fahrenheit 451,Ray Bradbury,spa,1953,3.97,570498,307347974,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,"New Moon (Twilight, #2)",Stephenie Meyer,eng,2006,3.52,1149630,316160199,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,Where the Sidewalk Ends,Shel Silverstein,eng,1974,4.29,1016888,60513039,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,eng,2007,4.12,1154031,1416914285,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,"Eclipse (Twilight, #3)",Stephenie Meyer,en-US,2007,3.69,1134511,316160202,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,en-US,2002,3.86,1104021,375826696,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,en-US,1979,4.2,936782,345391802,https://images.gr-assets.com/books/1327656754m/11.jpg
55,Brave New World,Aldous Huxley,eng,1932,3.97,1022601,60929871,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,en-US,2008,3.7,1070245,031606792X,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,The Secret Life of Bees,Sue Monk Kidd,en-US,2001,4.01,916189,142001740,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",eng,1884,3.8,953758,142437174,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",eng,1952,4.15,1064521,64410935,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,eng,2003,3.85,867553,1400032717,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,The Girl on the Train,Paula Hawkins,eng,2015,3.88,1008778,1594633665,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,eng,1995,3.94,953970,679879242,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",eng,1847,3.82,899195,393978893,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,My Sister's Keeper,Jodi Picoult,eng,2004,4.06,863879,743454537,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,eng,1969,4.06,846488,385333846,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,Gone with the Wind,Margaret Mitchell,eng,1936,4.28,873981,446675539,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,A Thousand Splendid Suns,Khaled Hosseini,eng,2007,4.34,818742,1594489505,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,The Perks of Being a Wallflower,Stephen Chbosky,eng,1999,4.21,888806,671027344,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,"Insurgent (Divergent, #2)",Veronica Roth,eng,2012,4.07,836362,7442912,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,eng,1985,4.3,813439,812550706,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",eng,1818,3.75,808589,141439475,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,The Shining (The Shining #1),Stephen King,eng,1977,4.17,791850,450040186,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,"The Host (The Host, #1)",Stephenie Meyer,en-US,2008,3.84,749780,316068047,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,Looking for Alaska,John Green,eng,2005,4.09,783470,142402516,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,eng,1996,3.75,736498,014028009X,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",eng,1811,4.06,738894,141439661,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",eng,1998,3.93,747445,439244196,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,eng,2003,3.7,665930,307275558,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",eng,-720,3.73,670326,143039954,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",eng,1946,4.28,738757,156012197,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,The Glass Castle,Jeannette Walls,eng,2005,4.24,621099,074324754X,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,Into the Wild,Jon Krakauer,eng,1996,3.94,647684,385486804,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",eng,1859,3.81,637412,141439602,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,spa,1990,3.96,447833,030734813X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,The Giving Tree,Shel Silverstein,eng,1964,4.38,702332,60256656,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,A Time to Kill,John Grisham,eng,1989,4.03,597775,385338600,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",eng,1958,4.3,691231,374500010,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,Paper Towns,John Green,en-US,2008,3.88,461311,014241493X,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,The Princess Bride ,William Goldman,en-US,1973,4.25,628637,345418263,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,The Outsiders,S.E. Hinton,en-US,1967,4.06,659248,014038572X,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,"The Maze Runner (Maze Runner, #1)",James Dashner,eng,2009,4.02,719925,385737947,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",en-US,2005,3.93,524191,61234001,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,The Secret Garden,Frances Hodgson Burnett,eng,1911,4.12,639357,517189607,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",eng,1967,4.04,490565,60531045,https://images.gr-assets.com/books/1327881361m/320.jpg
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",eng,1891,4.06,590014,375751513,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,eng,2012,3.88,387290,345803507,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",eng,1897,3.98,618973,393970124,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",eng,2006,4.22,563994,307269981,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,eng,2011,3.87,552059,1612130585,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,The Poisonwood Bible,Barbara Kingsolver,eng,1998,4.02,546502,60786507,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,Me Talk Pretty One Day,David Sedaris,eng,2000,3.97,495736,349113912,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,Where the Wild Things Are,Maurice Sendak,eng,1963,4.22,620618,99408392,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",eng,1844,4.21,555822,140449264,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,The Road,Cormac McCarthy,eng,2006,3.95,504793,307265439,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,"Allegiant (Divergent, #3)",Veronica Roth,eng,2013,3.63,463257,7524277,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,Bossypants,Tina Fey,eng,2011,3.94,506250,,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,A Walk to Remember,Nicholas Sparks,en-US,1999,4.15,546948,446693804,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,eng,2000,3.61,543658,440241413,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",eng,1862,4.14,513407,451525264,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,eng,1998,4.4,523303,553381695,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,The Memory Keeper's Daughter,Kim Edwards,eng,2005,3.64,501430,143037145,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,"Me Before You (Me Before You, #1)",Jojo Moyes,eng,2012,4.27,587647,670026603,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,Catch-22,Joseph Heller,en-US,1961,3.98,563265,684833395,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",eng,1997,4.06,556518,751529818,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,Middlesex,Jeffrey Eugenides,en-US,2002,3.98,488243,312422156,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",eng,1876,3.89,555359,143039563,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,en-US,1962,4.04,615907,440498058,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,The Joy Luck Club,Amy Tan,eng,1989,3.9,515090,143038095,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,The Handmaid's Tale,Margaret Atwood,eng,1985,4.06,607889,038549081X,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,eng,2001,3.75,525706,385729332,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,Lolita,"Vladimir Nabokov, Craig Raine",eng,1955,3.88,469836,,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",eng,1995,3.52,506900,60987103,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,"The Firm (Penguin Readers, Level 5)",John Grisham,eng,1991,3.99,488269,582418275,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,Room,Emma Donoghue,eng,2010,4.03,511360,316098337,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",eng,1600,4,515820,521618746,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,Dune (Dune Chronicles #1),Frank Herbert,eng,1965,4.19,485032,340839937,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,eng,2000,3.92,490504,316346624,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,Steve Jobs,Walter Isaacson,eng,2011,4.09,560715,1451648537,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,One Flew Over the Cuckoo's Nest,Ken Kesey,eng,1962,4.18,491642,451163966,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,The Old Man and the Sea,Ernest Hemingway,eng,1952,3.73,520630,684830493,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,The Grapes of Wrath,John Steinbeck,eng,1939,3.92,322321,142000663,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,The Five People You Meet in Heaven,Mitch Albom,,2003,3.9,449501,1401308589,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,eng,1908,4.23,502247,451528824,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,en-US,2009,4.34,593173,1416914307,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,eng,2000,4.54,469022,055357342X,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,en-US,1996,3.79,465676,006075995X,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,"Outlander (Outlander, #1)",Diana Gabaldon,eng,1991,4.2,515547,440242940,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",eng,1850,3.37,509883,142437263,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,en-US,2011,3.89,613674,1594744769,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",en-US,2007,4.2,443951,030726999X,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,The Martian,Andy Weir,eng,2012,4.39,423344,804139024,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,eng,1989,4.29,462517,451207149,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,All the Light We Cannot See,Anthony Doerr,eng,2014,4.31,470001,1476746583,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,eng,2010,4.4,487775,1400064163,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,Deception Point,Dan Brown,eng,2001,3.67,455610,671027387,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,The Goldfinch,Donna Tartt,eng,2013,3.87,396756,316055433,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,Thirteen Reasons Why,Jay Asher,eng,2007,4.02,463783,1595141715,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,Girl with a Pearl Earring,Tracy Chevalier,eng,1999,3.85,467577,452287022,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,"If I Stay (If I Stay, #1)",Gayle Forman,en-US,2009,3.96,503527,525421033,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,The Red Tent,Anita Diamant,en-US,1997,4.16,424981,312353766,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,eng,2006,4.23,514932,786856866,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,Dear John,Nicholas Sparks,en-US,2006,4.01,441062,446528056,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,eng,2008,4.21,541117,1416914293,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,Macbeth,William Shakespeare,eng,1606,3.88,496018,743477103,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,en-US,1954,4.42,480446,618346260,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,eng,2004,3.83,403601,031232118X,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור",en-US,1960,4.29,457475,394800168,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",eng,1964,4.1,453959,142403881,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,eng,2008,4.39,508214,1423101464,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,Great Expectations,Charles Dickens,eng,1860,3.75,459247,192833596,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,en-US,1955,4.51,463959,345339738,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,The Stranger,"Albert Camus, Matthew    Ward",eng,1942,3.96,420600,,https://images.gr-assets.com/books/1349927872m/49552.jpg
163,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,eng,2010,4.35,271576,142311339X,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,Eleanor & Park,Rainbow Rowell,eng,2013,4.11,514312,1250012570,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,en-US,2005,4.1,428186,055358202X,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,"Matched (Matched, #1)",Ally Condie,eng,2010,3.68,511815,525423648,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,"American Gods (American Gods, #1)",Neil Gaiman,eng,2001,4.11,378019,747263744,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,The Stand,"Stephen King, Bernie Wrightson",en-US,1978,4.34,438832,385199570,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,The Last Song,Nicholas Sparks,en-GB,2008,4.14,424637,446547565,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,Digital Fortress,Dan Brown,en-GB,1998,3.6,423019,552151696,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,Emma,"Jane Austen, Fiona Stafford",eng,1815,3.99,459826,141439580,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",eng,1877,4.02,297472,345803922,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,A Clockwork Orange,Anthony Burgess,eng,1962,3.98,431195,393312836,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,The Shack,William Paul Young,eng,2007,3.74,419539,964729237,https://images.gr-assets.com/books/1344270232m/1812457.jpg
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,eng,2009,4.5,397500,739380338,https://images.gr-assets.com/books/1327924597m/4502507.jpg
176,It,Stephen King,en-US,1986,4.18,292592,451169514,https://images.gr-assets.com/books/1309376909m/18342.jpg
177,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",eng,1866,4.18,380903,143058142,https://images.gr-assets.com/books/1382846449m/7144.jpg
178,The Bell Jar,Sylvia Plath,en-US,1963,3.98,401605,61148512,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,eng,1996,4.07,392103,7205236,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
180,Siddhartha,"Hermann Hesse, Hilda Rosner",eng,1922,3.99,372099,553208845,https://images.gr-assets.com/books/1428715580m/52036.jpg
181,In Cold Blood,Truman Capote,eng,1965,4.05,381652,679745580,https://images.gr-assets.com/books/1424931136m/168642.jpg
182,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",eng,2009,3.76,436093,316042676,https://images.gr-assets.com/books/1327873282m/6304335.jpg
183,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,eng,2010,4.33,490890,1416975861,https://images.gr-assets.com/books/1454962884m/7171637.jpg
